city,state,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2,Composite_AQI,Dominant_Pollutant,AQI_Category
Bareilly,Uttar_Pradesh,1.5,0.0,6.5,20.5,74.5,67.5,65.0,74.5,PM10,Moderate
Dehradun,Uttarakhand,0.0,,2.0,54.0,38.0,73.0,8.0,73.0,PM2.5,Moderate
Virar,Maharashtra,1.0,1.0,30.0,42.0,62.0,73.0,4.0,73.0,PM2.5,Moderate
Rajsamand,Rajasthan,1.0,2.0,19.0,72.0,45.0,28.0,15.0,72.0,OZONE,Moderate
Jalore,Rajasthan,1.0,1.0,18.0,71.0,71.0,48.0,6.0,71.0,OZONE,Moderate
Korba,Chhattisgarh,1.5,0.0,41.0,8.5,70.5,36.5,38.0,70.5,PM10,Moderate
Machilipatnam,Andhra_Pradesh,1.0,1.0,12.0,38.0,48.0,70.0,20.0,70.0,PM2.5,Moderate
Rairangpur,Odisha,1.0,0.0,14.0,39.0,62.0,70.0,10.0,70.0,PM2.5,Moderate
Sirohi,Rajasthan,0.0,1.0,12.0,69.0,66.0,47.0,9.0,69.0,OZONE,Moderate
Bhubaneswar,Odisha,3.0,1.5,12.5,56.0,58.0,67.5,6.5,67.5,PM2.5,Moderate
Perundurai,TamilNadu,2.0,1.0,15.0,23.0,50.0,67.0,21.0,67.0,PM2.5,Moderate
Aizawl,Mizoram,0.0,,1.0,,67.0,30.0,18.0,67.0,PM10,Moderate
Guwahati,Assam,1.0,0.6666666666666666,8.333333333333334,15.25,33.333333333333336,66.0,21.0,66.0,PM2.5,Moderate
Srinagar,Jammu_and_Kashmir,1.0,,26.0,2.0,65.5,57.0,4.5,65.5,PM10,Moderate
Hubballi,Karnataka,1.0,0.0,10.0,29.0,55.0,65.0,2.0,65.0,PM2.5,Moderate
Thoothukudi,TamilNadu,2.0,,21.0,32.0,64.0,,12.0,64.0,PM10,Moderate
Rishikesh,Uttarakhand,2.0,3.0,28.0,64.0,38.0,3.0,1.0,64.0,OZONE,Moderate
Chamarajanagar,Karnataka,1.0,0.0,29.0,28.0,51.0,63.0,5.0,63.0,PM2.5,Moderate
Jhansi,Uttar_Pradesh,0.0,1.0,8.0,8.0,63.0,47.0,21.0,63.0,PM10,Moderate
