city,state,Composite_AQI,Dominant_Pollutant,PM25_AQI,AQI_Difference
Jhansi,Uttar_Pradesh,63.0,PM10,47.0,16.0
Nellore,Andhra_Pradesh,62.0,PM2.5,62.0,0.0
Aurangabad,Bihar,62.0,PM2.5,62.0,0.0
Amaravati,Andhra_Pradesh,62.0,OZONE,47.0,15.0
Kalaburagi,Karnataka,62.0,PM2.5,62.0,0.0
Dombivli,Maharashtra,59.0,PM10,58.0,1.0
Dhanbad,Jharkhand,58.0,OZONE,,
Bagalkot,Karnataka,57.0,PM2.5,57.0,0.0
Shivamogga,Karnataka,56.0,OZONE,43.0,13.0
Bettiah,Bihar,55.0,PM2.5,55.0,0.0
Bhiwani,Haryana,55.0,PM2.5,55.0,0.0
Naharlagun,Arunachal_Pradesh,53.0,PM2.5,53.0,0.0
Nalbari,Assam,53.0,PM2.5,53.0,0.0
Thiruvananthapuram,Kerala,52.0,PM2.5,52.0,0.0
Sivasagar,Assam,52.0,OZONE,35.0,17.0
Vijayapura,Karnataka,50.0,PM2.5,50.0,0.0
Chennai,TamilNadu,49.0,PM10,47.4,1.6
Bhilai,Chhattisgarh,48.7,PM2.5,48.7,0.0
Silchar,Assam,47.0,PM10,40.0,7.0
Puducherry,Puducherry,46.0,OZONE,23.0,23.0
Madikeri,Karnataka,42.0,PM2.5,42.0,0.0
Shillong,Meghalaya,41.0,NO2,38.0,3.0
Kohima,Nagaland,40.0,SO2,,
Koppal,Karnataka,38.0,NO2,,
Ankleshwar,Gujarat,36.0,NO2,,
Kollam,Kerala,36.0,OZONE,,
Rajamahendravaram,Andhra_Pradesh,36.0,PM10,27.0,9.0
Rupnagar,Punjab,32.0,NO2,28.0,4.0
Chikkamagaluru,Karnataka,29.0,OZONE,,
Ambala,Haryana,28.0,SO2,15.0,13.0
Ramanathapuram,TamilNadu,22.0,PM10,,
Manguraha,Bihar,21.0,SO2,,
Bileipada,Odisha,18.0,OZONE,,
Katihar,Bihar,17.0,OZONE,,
Kashipur,Uttarakhand,10.0,NO2,,
Samastipur,Bihar,8.0,OZONE,,
Maihar,Madhya Pradesh,4.0,CO,,
Madurai,TamilNadu,1.0,CO,,
Byrnihat,Meghalaya,1.0,CO,,
